,rev_id,prediction
0,355319463,Stub
1,393276188,Stub
2,393822005,Stub
3,395521877,Stub
4,395526568,Stub
5,401577829,Stub
6,442937236,Stub
7,448555418,Stub
8,470173494,Start
9,477962574,Stub
10,492060822,Stub
11,492964343,Stub
12,498683267,Stub
13,502721672,C
14,521986779,Stub
15,532253442,Stub
16,543225630,Stub
17,545936100,Stub
18,546364151,Stub
19,549300521,Stub
20,550953646,Stub
21,559553872,Stub
22,559788982,Stub
23,560758943,Stub
24,561744402,Stub
25,564873005,Stub
26,565745353,Stub
27,565745365,Stub
28,565745375,Stub
29,566504165,Start
30,573710096,B
31,574571582,Stub
32,576988466,Stub
33,585894477,Stub
34,592289232,Stub
35,595693452,Start
36,596181202,Start
37,598819900,Start
38,601122766,Stub
39,601127343,Start
40,614786300,Start
41,623004627,Stub
42,623334577,Stub
43,624468970,Stub
44,625509885,Start
45,626606789,Stub
46,627001041,Stub
47,627051151,Stub
48,627432937,Stub
49,628261896,Stub
50,628268705,Stub
51,628270736,Stub
52,628312759,Stub
53,628379479,Stub
54,628563978,Stub
55,628619000,Stub
56,628766656,Stub
57,628988952,Stub
58,629562076,Stub
59,629818376,Stub
60,630396351,Stub
61,630396786,Stub
62,630704768,Stub
63,631437331,Stub
64,631581752,Start
65,632008524,Start
66,632261377,Stub
67,632447328,Stub
68,633612729,Start
69,634032715,B
70,635240253,Stub
71,635814126,Stub
72,636911471,Stub
73,637801253,Stub
74,638214719,Stub
75,638362866,Stub
76,638377138,Stub
77,638566016,Start
78,638571205,Stub
79,638599355,Start
80,639021339,Stub
81,639061161,Start
82,639471171,Stub
83,640014648,Stub
84,640214913,Stub
85,640826254,Stub
86,641422326,Stub
87,643410335,Start
88,643746000,Stub
89,643932216,Start
90,643932220,Start
91,643932225,Start
92,643932226,Start
93,643932239,Start
94,643932242,Start
95,644024203,Stub
96,644041882,Stub
0,645225697,Start
1,645408814,Stub
2,647367482,Start
3,647450883,Stub
4,647483021,Stub
5,647832959,Stub
6,647893858,Stub
7,648048611,Stub
8,648271473,Stub
9,650458255,Stub
10,650462344,Stub
11,650494773,Stub
12,651250302,Stub
13,651785828,Stub
14,651856758,Start
15,653467222,Stub
16,653527941,Stub
17,653895210,Stub
18,654012510,Stub
19,655031906,Stub
20,655032578,Stub
21,655390291,Stub
22,655980284,Stub
23,656352211,Stub
24,656386131,Stub
25,656737492,Stub
26,657176628,Start
27,658939122,Stub
28,659315526,Stub
29,660214915,Start
30,660579437,Stub
31,660884852,Start
32,662681733,Start
33,662927043,Start
34,663088604,Stub
35,663166199,Stub
36,663348266,Stub
37,663572469,Stub
38,663617582,Stub
39,663783398,Stub
40,663880497,Stub
41,664532059,Stub
42,664669156,Stub
43,664787336,Stub
44,664793790,Stub
45,664814622,Stub
46,664822251,Stub
47,666029819,Stub
48,666596918,Stub
49,666610075,Start
50,666752677,Stub
51,667194771,Stub
52,667198201,Start
53,667815878,Start
54,667821864,C
55,667873261,Start
56,667906849,Start
57,668091068,Stub
58,668095014,Stub
59,668258382,Stub
60,668449610,Stub
61,668830946,Stub
62,669266906,Stub
63,669301445,Stub
64,669387487,Start
65,669444168,Stub
66,669565720,Stub
67,669571173,Stub
68,669719757,Stub
69,669831602,Stub
70,669833212,Stub
71,669833349,Stub
72,669835390,Stub
73,669841183,Stub
74,669855022,Stub
75,669862709,Stub
76,669869895,Stub
77,669981316,Stub
78,669985109,Stub
79,669987106,Stub
80,670134982,Stub
81,670210734,Start
82,670462475,Stub
83,670893206,Stub
84,670917017,Stub
85,670960027,Stub
86,670971940,Stub
87,671016281,Stub
88,671023940,Stub
89,671029717,Stub
90,671032132,Stub
91,671047987,Stub
92,671073599,Stub
93,671122320,Start
94,671189093,Stub
95,671338098,Stub
96,671338216,Stub
97,671455150,Stub
98,671461616,Stub
